                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.01518,                0.02323,                0.25769,                 0.9104,                0.79049,                0.81336,                 0.8436,                0.74052,                0.78972,                0.80805,                0.83774,                0.66485,                0.01483,                0.02447,                0.38812,                0.96228,               0.023181,               0.023181,               0.023181
                     39,                 0.0153,                0.02423,                 0.2721,                0.91217,                0.78927,                0.82293,                0.85556,                0.76061,                0.78433,                0.81882,                0.85065,                0.67086,                0.01405,                0.02295,                0.37187,                0.95461,               0.023163,               0.023163,               0.023163
                     40,                0.01496,                0.02505,                0.26681,                0.91659,                0.81179,                0.80082,                0.85115,                0.73759,                0.80347,                0.79945,                0.84449,                0.65834,                0.01542,                 0.0241,                0.36914,                0.97756,               0.023145,               0.023145,               0.023145
                     41,                0.01518,                0.02345,                0.26526,                0.91033,                0.77604,                  0.802,                0.84495,                0.74572,                0.77457,                0.80049,                0.84234,                0.65933,                0.01436,                0.02279,                0.40584,                0.96032,               0.023126,               0.023126,               0.023126
                     42,                0.01495,                0.02401,                0.26293,                0.91069,                0.79168,                 0.7985,                0.83794,                0.74022,                 0.7889,                0.79604,                0.83261,                0.65916,                0.01448,                0.02373,                0.39995,                0.97214,               0.023108,               0.023108,               0.023108
                     43,                0.01499,                0.02365,                0.25581,                0.91008,                0.78185,                0.80455,                0.85059,                0.74902,                0.77666,                0.79945,                0.84551,                0.65692,                0.01449,                0.02176,                0.37812,                0.95814,                0.02309,                0.02309,                0.02309
                     44,                0.01511,                0.02449,                0.26234,                0.91652,                0.80638,                0.79275,                0.85168,                0.74775,                0.75442,                0.83759,                 0.8459,                 0.6516,                0.01427,                0.02373,                0.37012,                0.96426,               0.023072,               0.023072,               0.023072
                     45,                0.01519,                0.02425,                0.26558,                0.91458,                0.77811,                0.81952,                0.83663,                0.73661,                0.77533,                0.81664,                 0.8343,                0.65983,                0.01445,                0.02243,                0.38354,                0.96225,               0.023054,               0.023054,               0.023054
                     46,                0.01524,                0.02403,                 0.2605,                0.91854,                0.80257,                 0.8041,                0.84932,                0.74514,                0.80198,                0.79995,                0.84672,                0.65922,                0.01444,                0.02316,                0.36661,                0.97157,               0.023036,               0.023036,               0.023036
                     47,                0.01512,                0.02381,                0.26317,                 0.9125,                0.81031,                0.81088,                0.85482,                0.76176,                0.80604,                0.80544,                 0.8493,                0.68066,                0.01402,                0.02257,                 0.3701,                0.95594,               0.023017,               0.023017,               0.023017
                     48,                0.01517,                0.02316,                0.26575,                0.91466,                0.78578,                 0.8316,                0.84258,                0.74267,                0.78344,                0.82638,                 0.8375,                0.65741,                0.01419,                0.02235,                0.40804,                0.94899,               0.022999,               0.022999,               0.022999
                     49,                0.01504,                0.02348,                0.26482,                0.91128,                0.78905,                0.78329,                0.83667,                 0.7446,                0.78653,                0.78078,                0.83402,                0.66264,                0.01415,                0.02198,                0.39991,                0.96175,               0.022981,               0.022981,               0.022981
                     50,                0.01494,                0.02398,                0.25912,                0.91399,                0.81943,                0.80506,                0.85719,                0.75397,                0.81459,                0.79851,                0.84753,                0.66607,                0.01461,                0.02278,                0.36477,                0.97259,               0.022963,               0.022963,               0.022963
                     51,                0.01524,                0.02429,                0.26731,                0.91875,                0.80551,                0.82509,                0.86387,                0.75964,                0.80293,                0.82259,                0.86047,                0.67439,                0.01435,                0.02268,                0.34276,                0.95737,               0.022945,               0.022945,               0.022945
